R216--R215 1.30111 3--2 	1.49242 2--11 	1.55884 2--2
R183--R184 0.00000 1--1 	0.00000 1--1 	0.00000 1--1
R136--R137 1.12945 9--4 	1.15280 9--5 	1.17651 11--5
R136--R227 1.12945 9--4 	1.15280 9--5 	1.17651 11--5
R136--R228 1.10916 5--8 	1.12806 5--3 	1.14012 8--8
R136--R229 0.03481 7--6 	0.05825 7--9 	0.06247 7--4
R137--R227 0.00000 1--1 	0.00000 1--1 	0.00000 1--1
R137--R228 1.81789 1--5 	1.90988 1--8 	11.00000 13--1
R137--R229 1.13679 5--5 	1.16253 3--8 	1.16368 6--10
R228--R229 1.18954 9--9 	1.22615 10--9 	1.23365 7--9
R138--R139 1.12759 5--7 	1.19730 5--2 	1.50624 4--2
R142--R143 1.48118 6--9 	1.49046 9--3 	1.49634 3--7
R144--R145 1.30948 1--1 	1.57135 3--4 	1.79271 4--1
R146--R147 1.25528 6--10 	1.25859 6--3 	1.32194 6--4
R146--R176 1.25528 6--10 	1.25859 6--3 	1.32194 6--4
R147--R176 0.00000 1--1 	0.00000 1--1 	0.00000 1--1
R147--R177 1.38638 2--8 	1.45578 9--3 	1.48834 8--6
R177--R176 1.25528 6--10 	1.25859 6--3 	1.32194 6--4
R148--R149 1.40424 9--1 	1.42076 9--10 	1.45030 9--3
R150--R151 1.55938 7--12 	1.55955 10--12 	1.68066 5--11
R152--R153 1.49352 2--11 	11.00000 1--14 	11.00000 1--14
R154--R155 1.37340 11--4 	1.38488 11--6 	1.39073 10--2
R156--R157 1.32059 8--7 	1.32278 8--8 	1.34578 7--7
R158--R159 1.36279 3--9 	1.38827 3--8 	1.43059 3--7
R160--R161 0.89063 1--11 	0.98434 9--8 	1.00451 1--7
R162--R163 1.34473 8--6 	1.47043 9--8 	1.53327 7--1

